",Density of physicians x             (per 1000 population) ,Density of nursing and midwifery personnel x                 (per 1000 population) ,Density of dentistry personnel x                     (per 1000 population) ,Density of pharmaceutical personnel x (per 1000 population) ,Average of 13 International Health Regulations core capacity scores y,"Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) d,z (%)",Prevalence of stunting in children under 5 aa (%),Prevalence of wasting in children under 5 aa (%),Prevalence of overweight in children under 5 aa (%),Proportion of population using safely managed drinking-water services ab (%),Proportion of population using safely  managed sanitation services ab (%),Proportion of population with primary reliance on clean fuels t (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas t  (µg/m3),"Average death rate due to natural disasters c,m,ac (per 100 000 population)","Mortality rate due to homicide c,m (per 100 000 population)","Estimated direct deaths from major conflicts c,m,ac,ad (per 100 000 population)","Completeness of cause-of-death data c,m,ae (%)"
,2016,2016,2016,2015,2015,2015,2007–2017,2016,2016,2016,2016,2016,2015,2016,2016,2016,2016,2013,2007–2017,2007–2016,2015,2007-2015,2007-2015,2016,2016,2016,2016_male,2016_female,2016,2016,2016,2016,2007–2016,2007–2016,2007–2016,2007–2016,2010–2017,2015,2007-2016,2007-2016,2007-2016,2015,2015,2016,2016,2012-2016,2016,2012-2016,2007-2016
Angola,28813,62.6,55.8,109,2.9,477,47,82.5,29.3,0.94,370,120.3,4.85,14419092,16.5,4.7,6.4,26.9,24.2,163.0,36,12.4,4.5,118.5,48.8,2.7,-,-,64,26,58,1.57,0.1,1.4,-,-,75,3.7,37.6,4.9,3.3,-,-,48,28.4,<0.1,9.8,<0.1,-
Antigua and Barbuda,101,75.0,67.0,657,4.8,-,100,8.5,3.8,-,3.4,-,0.38,176,22.6,0.5,7.0,6.7,-,-,75,-,-,29.9,0.1,0.4,-,-,99,87,-,-,-,-,-,-,71,14.9,-,-,-,-,-,>95,18.0,0.0,1.8,0.0,87
Argentina,43847,76.9,68.4,998,6.8,52,100,11.1,6.2,0.13,24,0.0,0.01,80002,15.8,9.2,9.8,13.6,-,65.5,76,-,-,26.6,0.4,0.6,27.7,16.2,92,88,82,0.01,3.9,4.2,-,-,70,12.3,-,-,-,-,26,>95,11.7,<0.1,6.2,<0.1,100
Armenia,2925,74.8,66.3,366,10.1,25,100,13.4,7.4,0.09,44,-,0.25,39149,22.3,6.6,5.5,18.3,40.2,24.3,67,16.1,4.9,54.8,0.2,0.6,52.1,1.5,94,97,94,5.03,2.8,5.4,0.4,0.0,95,6.1,9.4,4.2,13.6,61,-,>95,32.9,0.0,2.4,<0.1,100
Australia,24126,82.9,73.0,4934,9.4,6,100,3.7,2.2,0.05,6.1,-,0.15,20994,9.1,13.2,10.6,5.4,-,11.9,?80,3.7,0.5,8.4,<0.1,0.2,16.5,13.0,94,94,94,-,3.5,12.6,0.6,0.8,100,-,2.0,0.0,7.7,-,74,>95,7.3,<0.1,1.1,<0.1,100
Austria,8712,81.9,72.4,4536,10.3,4,98,3.5,2.2,-,8.2,-,0.32,26,11.4,15.6,11.6,5.4,-,7.6,?80,-,-,15.3,0.1,0.2,30.9,28.4,87,89,-,-,5.2,8.3,0.6,0.7,68,15.1,-,-,-,99,97,>95,13.1,0.2,0.5,<0.1,100
Azerbaijan,9725,73.1,64.9,368,6.7,25,100,30.9,18.1,0.10,66,0.0,0.27,1719031,22.2,2.6,0.8,10.0,-,52.8,64,-,-,63.9,1.1,0.6,42.5,0.3,97,98,97,0.39,3.4,6.9,0.3,0.2,84,4.1,18.0,3.1,13.0,72,-,>95,18.5,0.0,2.4,0.8,95
Bahamas,391,75.7,66.8,1685,7.4,80,100,10.6,5.8,-,26,-,0.31,4077,15.5,1.7,4.4,13.8,-,32.0,72,-,-,19.9,<0.1,0.1,20.4,3.1,94,74,94,-,2.3,4.0,0.4,0.8,78,14.2,-,-,-,-,-,>95,19.0,0.0,29.7,0.0,86
Bahrain,1425,79.1,68.1,1190,5.2,15,100,7.6,3.1,0.04,12,-,0.18,3,11.3,5.9,1.9,8.0,-,14.3,72,-,-,40.1,<0.1,0.2,37.6,5.8,99,99,99,-,0.9,2.5,0.2,0.2,93,9.5,-,-,-,99,93,>95,69.0,0.0,0.8,0.3,96
Bangladesh,162952,72.7,63.3,32,2.6,176,50,34.2,20.1,<0.01,221,0.6,1.38,47484224,21.6,5.9,0.0,13.6,72.5,78.0,46,13.6,4.8,149.0,11.9,0.3,44.7,1.0,97,93,97,1.25,0.5,0.3,0.0,0.6,78,2.8,36.1,14.3,1.4,56,-,18,58.6,<0.1,2.9,<0.1,-
