",Skilled health professionals density t (per 10 000 population) ,Average of 13 International Health Regulations core capacity scores u,General Government Health Expenditure as % of General government expenditure v ,Prevalence of stunting in children under 5 w (%),Prevalence of wasting in children under 5 w (%),Prevalence of overweight in children under 5 w (%),Proportion of population using improved drinking-water sources x (%),Proportion of population using improved sanitation x (%),Proportion of population with primary reliance on clean fuels y (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas z  (µg/m3),Average death rate due to natural disasters k (per 100 000 population),Mortality rate due to homicide k (per 100 000 population),"Estimated direct deaths from major conflicts k,aa (per 100 000 population)",Completeness of cause-of-death data ab (%)
,2015,2015,2015,2015,2005–2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2013,2005–2015,2005–2014,2012,2012,2015,2015_male,2015_female,2015,2014,2005–2015,2010–2016,2014,2005-2016,2005-2016,2005-2016,2015,2015,2014,2014,2011-2015,2015,2011-2015,2005-2015
Antigua and Barbuda,92,76.4,67.5,–,100,8.1,4.9,–,7.5,–,99,158,15.6,0.0,5.4,6.7,–,–,–,–,0.6,–,–,99,–,–,81,18.1,–,–,–,98,–,>95,13.0,0.0,4.8,0.0,93
Argentina,43417,76.3,67.6,52,100,12.5,6.3,0.23,25,0.0,94,634,17.1,14.2,9.1,13.6,–,68.1,24.6,0.7,0.8,29.5,18.4,94,0.02,–,76,6.9,8.2,1.2,9.9,99,96,>95,14.4,0.1,4.7,0.0,99
Armenia,3018,74.8,66.8,25,100,14.1,7.4,0.26,41,–,94,39044,23.2,5.4,5.4,18.3,39.2,22.7,93.2,1.1,0.7,52.3,1.5,94,2.03,78.0,96,7.0,9.4,4.2,13.6,100,90,>95,25.0,0.0,1.7,0.0,100
Australia,23969,82.8,71.9,6,99,3.8,2.2,0.10,6.0,–,93,17476,8.9,11.8,11.2,5.4,–,14.2,0.4,<0.1,0.5,16.7,13.1,93,–,157.2,100,17.3,2.0,0.0,7.7,100,100,>95,5.8,0.1,0.9,<0.1,100
Austria,8545,81.5,72.0,4,99,3.5,2.1,–,7.6,–,98,8,11.2,16.4,10.6,5.4,–,7.9,34.2,0.1,0.4,–,–,98,–,133.2,87,16.3,–,–,–,100,100,>95,17.1,0.2,1.0,<0.1,100
Azerbaijan,9754,72.7,64.7,25,100,31.7,18.2,0.20,69,0.0,96,1699962,23.8,3.3,4.0,10.0,21.5,47.2,47.0,2.1,0.7,46.5,0.4,96,0.88,97.5,84,3.9,18.0,3.1,13.0,87,89,>95,26.3,0.0,2.2,0.3,100
Bahamas,388,76.1,66.6,80,98,12.1,6.9,2.26,18,–,95,4127,16.8,1.8,5.4,13.8,–,34.6,20.3,0.1,0.3,–,–,95,–,67.1,75,14.8,–,–,–,98,92,>95,12.6,0.0,23.7,0.0,89
Bahrain,1377,76.9,67.0,15,100,6.2,1.1,–,18,–,98,6,15.5,6.5,0.9,8.0,–,13.8,11.1,0.1,0.3,48.8,7.6,98,–,33.8,96,10.5,–,–,–,100,99,>95,60.1,0.0,0.7,2.0,83
Bangladesh,160996,71.8,62.3,176,42,37.6,23.3,0.01,225,0.8,94,49839493,21.5,5.5,0.2,13.6,72.5,113.0,68.6,6.0,0.3,39.8,0.7,94,1.02,6.0,76,5.7,36.1,14.3,1.4,87,61,10,88.8,0.1,2.9,<0.1,–
Barbados,284,75.5,66.6,27,99,13.0,8.0,1.19,0.0,–,97,97,16.2,0.4,7.8,6.7,70.0,49.7,17.3,0.2,0.5,13.1,0.9,97,–,65.7,84,10.9,7.7,6.8,12.2,100,96,>95,14.0,0.0,10.1,0.0,75
Belarus,9496,72.3,65.1,4,100,4.6,1.9,1.05,55,–,99,0,28.6,22.8,16.4,13.7,74.2,21.6,100.8,0.2,3.6,46.2,10.6,99,0.63,149.7,90,13.8,4.5,2.2,9.7,100,94,>95,18.0,0.0,6.2,<0.1,90
Belgium,11299,81.1,71.1,7,–,4.1,2.2,–,9.4,–,98,6,11.6,20.5,13.2,6.7,–,7.2,30.2,0.5,0.5,26.5,20.0,99,–,127.8,82,15.1,–,–,–,100,100,>95,15.9,<0.1,1.1,<0.1,100
Belize,359,70.1,62.3,28,94,16.5,8.3,0.82,25,0.1,94,7300,22.5,7.3,8.2,24.4,73.1,64.0,17.1,1.2,0.8,–,–,94,3.30,25.8,55,13.8,15.0,1.8,7.3,100,91,87,20.7,0.0,37.2,0.0,76
Benin,10880,60.0,52.5,405,77,99.5,31.8,0.69,60,293.7,79,7029345,22.2,9.3,2.6,27.7,24.5,94.0,92.6,32.2,3.2,17.7,1.0,79,6.23,7.5,28,9.6,34.0,4.5,1.7,78,20,7,27.9,<0.1,6.0,0.0,–
Bhutan,775,69.8,61.2,148,75,32.9,18.3,–,155,0.1,99,227111,23.1,11.7,0.5,15.1,84.6,28.4,58.9,7.1,0.9,–,–,99,4.55,13.4,76,8.0,33.6,5.9,7.6,100,50,68,39.0,0.0,1.5,0.0,–
Bolivia (Plurinational State of),10725,70.7,62.2,206,85,38.4,19.6,0.24,117,3.9,99,1883582,16.0,18.7,5.9,23.2,42.8,115.6,48.9,7.0,4.5,30.5,17.1,99,1.69,14.8,77,11.8,18.1,1.6,8.7,90,50,79,31.6,0.5,13.6,0.0,–
Bosnia and Herzegovina,3810,77.4,68.6,11,100,5.4,4.0,–,37,–,82,0,17.6,6.0,5.9,17.7,21.9,11.0,230.6,<0.1,1.9,47.2,30.0,82,3.06,74.8,57,14.1,8.9,2.3,17.4,100,95,40,55.1,0.1,3.1,<0.1,95
Botswana,2262,65.7,56.9,129,100,43.6,21.9,9.37,356,0.9,95,257169,18.6,9.7,8.2,23.6,–,39.0,39.1,9.2,1.5,–,–,95,1.75,31.1,62,8.8,31.4,7.2,11.2,96,63,63,19.2,0.1,10.8,0.0,–
Brazil,207848,75.0,65.5,44,99,16.4,8.9,0.39,41,7.9,96,11067291,16.9,6.3,8.9,23.4,89.3,64.8,15.8,1.1,0.2,19.3,11.3,96,0.01,93.0,97,6.8,7.1,1.6,7.3,98,83,93,11.3,0.2,30.5,0.2,99
Brunei Darussalam,423,77.7,70.4,23,100,10.2,4.3,–,58,–,99,9239,12.6,1.3,1.3,8.1,–,16.6,0.2,<0.1,0.2,29.3,3.1,99,–,96.6,92,6.5,19.7,2.9,8.3,–,–,>95,5.4,0.0,1.3,0.0,100
Bulgaria,7150,74.5,66.4,11,100,10.4,5.6,–,24,–,92,313,23.8,15.9,13.6,8.3,–,40.8,217.3,<0.1,0.8,42.4,28.2,91,–,88.6,69,11.0,–,–,–,99,86,79,30.3,0.1,1.5,<0.1,98
